Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-AUG-2023|AALI|EQUITY|1924688333|7600|65242527|23535324|7389855|49700|159265201|12166645|430232|3778637|4783127|276641248|1717425|6234002|21349183|8344741|1516064|34815486|28799557|149000|11222887|114148345
31-AUG-2023|ABBA|EQUITY|3935892857|74|79227600|2341929705|0|0|1004801431|0|439|0|0|3425959175|0|20400|0|43455585|6919200|0|1301900|0|0|51697085
31-AUG-2023|ABDA|EQUITY|620806680|6100|0|40248|0|98|393882|0|7500|506384|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
31-AUG-2023|ABMM|EQUITY|2753165000|3920|3913100|1481004233|0|15000|349389600|420300|1119537|30000|355300|1836247070|550000|705232936|11205584|12877244|525600|16526434|4193568|5181965|160624599|916917930
31-AUG-2023|ACES|EQUITY|17150000000|730|390865215|329668200|91710911|0|1812235291|453282836|5662034|15689200|24100|3099137787|7590300|228795251|428541029|731731760|7613500|1163306663|289132477|128400|909022833|3765862213
31-AUG-2023|ACST|EQUITY|12675160000|154|0|11194973035|10000|0|1440797561|20994000|1210|0|80|12656775886|0|120|0|9896744|3690435|0|4780795|0|16020|18384114
31-AUG-2023|ADCP|EQUITY|22222222200|59|1390000|446779700|6760000|0|1560387600|6602800|1558700|200|189963000|2213442000|0|0|0|5738800|3041400|0|0|0|0|8780200
31-AUG-2023|ADES|EQUITY|589896800|11250|0|90100|58500|350|40905777|5600|411|0|0|41060738|0|540211613|219900|6647324|95700|111500|182000|0|345597|547813634
31-AUG-2023|ADHI|EQUITY|8407608979|432|65240039|160179573|109258794|3000000|1992847739|245562323|52694157|27384619|1655147|2657822391|0|29802085|116366107|29653258|5580941|84504098|69092488|0|6003819|341002796
31-AUG-2023|ADMF|EQUITY|1000000000|11250|4429500|786800|106600|920700000|40943300|10873200|185017|0|0|978024417|22100|835331|640139|10936616|471300|974966|4186731|103000|3705400|21875583
31-AUG-2023|ADMG|EQUITY|3889179559|149|1030000|994200200|2290400|0|503698987|83|450027|0|0|1501669697|0|1662400|0|4098047|2740700|0|4323896|0|43|12825086
31-AUG-2023|ADMR|EQUITY|40882331500|1360|800798000|35506285811|158975300|0|1782678100|711025700|4121459|19217600|824800|38983926770|38081900|1189547409|6102587|110869060|58511700|17403731|2831439|0|475056904|1898404730
31-AUG-2023|ADRO|EQUITY|31985962000|2670|1150942321|16950084653|127319300|7000|6755585558|825524088|78839473|20061200|612427|25908976020|52413146|912196448|1044178064|506314845|13867772|1595133736|371651899|67928600|1513301470|6076985980
31-AUG-2023|AGAR|EQUITY|1000000000|172|0|798985100|0|0|200984500|0|0|0|0|999969600|0|200|0|8000|22200|0|0|0|0|30400
31-AUG-2023|AGII|EQUITY|3066660000|1875|7377600|1021738029|6347100|0|130792091|32101000|456560|986500|0|1199798880|0|989766420|23342600|6692400|1245100|2210800|10707100|0|1753700|1035718120
31-AUG-2023|AGRO|EQUITY|24740494294|350|24951286|63825407|726148095|21240242086|2154210133|80966803|2702|847919|1070996|24292265427|0|18963754|28948769|10707339|2646462|67687106|61428124|0|580412|190961966
31-AUG-2023|AGRS|EQUITY|37783204065|89|0|388081272|0|20158930|1692409662|0|215|0|1709600|2102359679|0|0|0|5618414|21444844|0|9091742|0|6136453341|6172608341
31-AUG-2023|AHAP|EQUITY|4900000000|92|3066343009|174322181|5000|0|1394505234|0|504473|0|42|4635679939|64086000|0|0|460500|194159307|0|1273341|0|55|259979203
31-AUG-2023|AIMS|EQUITY|220000000|286|0|180441890|0|0|39367510|0|18000|0|0|219827400|0|0|0|200|2000|0|20400|0|0|22600
31-AUG-2023|AISA|EQUITY|9311800000|132|169620483|7010555958|4470400|0|1685012339|7088900|5532925|100|8794665|8891075770|0|320937008|1927300|53896612|10607200|4493300|27687816|0|547494|420096730
31-AUG-2023|AKKU|EQUITY|6449463636|50|0|5519566100|0|0|620335936|0|11483800|6700|3191400|6154583936|0|196189000|0|100|1050200|0|2105400|0|95535000|294879700
31-AUG-2023|AKPI|EQUITY|612248000|945|4000|145575073|0|2|28484871|17500|2122|0|0|174083568|0|9600|34|14101|20903|0|94400|0|10300|149338
31-AUG-2023|AKRA|EQUITY|20073474600|1400|628630600|2720705877|98986400|5000000|859500183|765641106|31101808|9675500|45000|5119286474|27786530|440055289|896995832|629036574|30743700|1630227910|431470876|15541200|1140701115|5242559026
31-AUG-2023|AKSI|EQUITY|720000000|170|0|16066244|0|0|41471756|0|0|0|0|57538000|0|0|0|100|100|0|300|0|0|500
31-AUG-2023|ALDO|EQUITY|1316856472|675|0|929938366|0|0|386464323|425000|61|0|0|1316827750|0|0|0|766|27900|0|0|0|56|28722
31-AUG-2023|ALKA|EQUITY|507665055|655|0|11021250|0|77500|24094705|0|21200|0|0|35214655|0|0|0|282500|2624323|0|100|0|0|2906923
