Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
29-SEP-2023|AALI|EQUITY|1924688333|7500|65037227|24954124|7437655|49700|161734001|9763365|442579|3778637|4783127|277980415|1761225|6135002|21428295|8387441|1533964|33298026|28788178|203300|11273747|112809178
29-SEP-2023|ABBA|EQUITY|3935892857|80|44734300|2349323505|0|0|1034715631|0|439|0|0|3428773875|0|20400|0|40686985|6873100|0|1301900|0|0|48882385
29-SEP-2023|ABDA|EQUITY|620806680|6100|0|40248|0|98|394282|0|7500|505984|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
29-SEP-2023|ABMM|EQUITY|2753165000|3940|4396700|1480383533|25000|15000|348180000|410300|1354137|57500|407300|1835229470|550000|705295536|11814484|13122544|339700|16542434|4491968|5181965|160596899|917935530
29-SEP-2023|ACES|EQUITY|17150000000|750|420078115|345280400|112593111|0|1735959491|501876417|7413212|18617600|33800|3141852146|7590300|199501106|433955371|694625927|8112600|1153365824|287759386|0|938237340|3723147854
29-SEP-2023|ACST|EQUITY|12675160000|202|0|11202670777|0|0|1432232614|21994000|1215|0|80|12656898686|0|120|0|10527144|2877035|0|4840995|0|16020|18261314
29-SEP-2023|ADCP|EQUITY|22222222200|58|1390000|454536800|6760000|0|1562750600|911000|1558700|200|189963000|2217870300|0|0|0|1310500|3041400|0|0|0|0|4351900
29-SEP-2023|ADES|EQUITY|589896800|10625|0|93700|58500|350|40858977|19500|411|0|0|41031438|0|540211613|219900|6675824|96500|111500|182000|0|345597|547842934
29-SEP-2023|ADHI|EQUITY|8407608979|476|62976239|168037473|107326094|3000000|1980526233|266215623|46833463|27384619|2149647|2664449391|0|26703285|112366607|34176758|5451141|80085498|69091588|0|6500919|334375796
29-SEP-2023|ADMF|EQUITY|1000000000|10525|4429500|841400|107600|920700000|41865800|10116900|179917|0|0|978241117|22100|835331|640139|10920416|470800|919866|4041831|103000|3705400|21658883
29-SEP-2023|ADMG|EQUITY|3889179559|151|1030000|994201200|2290400|0|503578487|83|450027|0|0|1501550197|0|1662400|0|4217547|2740700|0|4323896|0|43|12944586
29-SEP-2023|ADMR|EQUITY|40882331500|1305|987093200|35485025111|157674300|0|1632065100|670696600|1571593|18050900|1000000|38953176804|31866200|1183739309|9844187|125464045|59065800|17510016|2556346|0|499108793|1929154696
29-SEP-2023|ADRO|EQUITY|31985962000|2850|1440182421|16929979411|154061400|7000|6664414658|785027032|74245744|24235600|831427|26072984693|50053803|921324225|1039543335|472005014|13345372|1544803131|356718276|67600700|1447583451|5912977307
29-SEP-2023|AEGS|EQUITY|1006000000|64|0|12502000|37100|0|384196300|0|0|0|0|396735400|0|0|0|0|3264600|0|0|0|0|3264600
29-SEP-2023|AGAR|EQUITY|1000000000|170|0|798985100|0|0|200986900|0|0|0|0|999972000|0|200|0|5600|22200|0|0|0|0|28000
29-SEP-2023|AGII|EQUITY|3066660000|1780|7377600|1019866529|6351100|0|130804391|33087900|462560|986500|0|1198936580|0|989756620|23342600|6549500|2535800|1935100|10707100|0|1753700|1036580420
29-SEP-2023|AGRO|EQUITY|24740494294|304|24437686|65753107|726148095|21240242086|2158587918|80846678|172642|976619|1070996|24298235827|0|18963754|28948769|11213039|2732962|61089499|61463131|0|580412|184991566
29-SEP-2023|AGRS|EQUITY|37783204065|86|0|394908172|0|20158930|1682344762|0|215|0|1709600|2099121679|0|0|0|8013014|22288244|0|9091742|0|6136453341|6175846341
29-SEP-2023|AHAP|EQUITY|4900000000|108|3066343009|213595181|0|0|1355048738|0|661811|0|0|4635648739|64086000|0|0|595041|194159307|0|1170000|0|55|260010403
29-SEP-2023|AIMS|EQUITY|220000000|278|0|180441890|0|0|39367510|0|18000|0|0|219827400|0|0|0|200|2000|0|20400|0|0|22600
29-SEP-2023|AISA|EQUITY|9311800000|117|169620483|7015225758|4470400|0|1680621439|7088900|5542925|100|8794665|8891364670|0|321100108|1927300|58122012|10607200|296100|27207616|0|547494|419807830
