Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
29-DEC-2023|AALI|EQUITY|1924688333|7025|65807927|28207924|7096644|49700|169969501|4879979|433523|3773837|4783127|285002162|1755010|6093501|20839570|9422541|1553964|26691191|28178061|149000|11104593|105787431
29-DEC-2023|ABBA|EQUITY|3935892857|52|89401600|2340069805|0|0|994672805|0|494|71|0|3424144775|0|20400|0|45094185|7063200|0|1333700|0|0|53511485
29-DEC-2023|ABDA|EQUITY|620806680|5800|0|40248|0|98|394282|0|7500|505984|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
29-DEC-2023|ABMM|EQUITY|2753165000|3400|4458400|1480717733|0|12000|348604300|384500|5153916|0|200000|1839530849|550000|852685736|10733984|4660365|314900|24169334|3179268|5181965|12158599|913634151
29-DEC-2023|ACES|EQUITY|17150000000|720|546141815|324021800|136301111|0|1469768091|706281380|5032714|18574900|53800|3206175611|21190700|229180066|475887258|580081534|3876400|1103015346|253361447|27018400|965213238|3658824389
29-DEC-2023|ACST|EQUITY|12675160000|136|0|11196380135|24000|0|1440356814|0|1157|0|80|12636762186|0|120|0|10378344|4737535|20245000|3020795|0|16020|38397814
29-DEC-2023|ADCP|EQUITY|22222222200|50|0|444521200|6760000|0|1588862300|911000|1558700|200|170563000|2213176400|0|0|0|6036100|3009700|0|0|0|0|9045800
29-DEC-2023|ADES|EQUITY|589896800|9675|0|85200|58500|350|43126877|62200|411|0|0|43333538|0|540215813|187900|4298324|103100|111500|182000|0|442197|545540834
29-DEC-2023|ADHI|EQUITY|8407608979|312|44804539|158564873|83799954|3000000|2115708356|146829723|54424964|24634651|1655147|2633422207|0|26254285|152383613|24799058|6902546|76767271|70045288|0|8250919|365402980
29-DEC-2023|ADMF|EQUITY|1000000000|10950|4429500|742900|108600|920700000|42683000|9683600|179815|0|0|978527415|22100|625331|636039|10493918|754200|947366|4168331|103000|3622300|21372585
29-DEC-2023|ADMG|EQUITY|3889179559|137|1030000|994150200|2290400|0|504007687|83|450027|0|0|1501928397|0|1662400|0|3842347|2737700|0|4323896|0|43|12566386
29-DEC-2023|ADMR|EQUITY|40882331500|1360|1078292200|35483423111|164005000|0|1438823100|683161603|35925|19118300|0|38866859239|48768500|1158052764|5976836|106401652|58532900|64447010|31656771|436700|541199128|2015472261
29-DEC-2023|ADRO|EQUITY|31985962000|2380|1387882621|16893540853|144872500|11000|6901883358|660388293|72247699|24439400|723327|26085989051|37584065|954267431|988133479|527453518|14487672|1535866384|336797140|69864600|1435518660|5899972949
29-DEC-2023|AEGS|EQUITY|1006000000|103|0|19000|0|0|397250300|0|0|0|0|397269300|0|0|0|0|2730700|0|0|0|0|2730700
29-DEC-2023|AGAR|EQUITY|1000000000|106|0|798985100|0|0|200992400|0|0|0|0|999977500|0|200|0|100|22200|0|0|0|0|22500
