Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-JAN-2024|AALI|EQUITY|1924688333|6900|65309727|28354724|7109033|49700|173272501|4486678|453960|3753812|4742227|287532362|1755010|6242801|20711470|8918741|1553164|29565913|23995439|149000|10365693|103257231
31-JAN-2024|ABBA|EQUITY|3935892857|51|89401600|2340071805|0|0|991687691|0|508|71|0|3421161675|0|20400|0|48077185|7063200|0|1333800|0|0|56494585
31-JAN-2024|ABDA|EQUITY|620806680|5500|0|40248|0|98|394382|0|7500|505884|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
31-JAN-2024|ABMM|EQUITY|2753165000|3410|3443100|1480677233|0|12000|348465100|326600|5192416|0|100000|1838216449|550000|853066436|10733984|5197065|339900|26768234|1226368|5181965|11884599|914948551
31-JAN-2024|ACES|EQUITY|17150000000|850|570178915|323747800|145836111|0|1239721491|835565920|3470677|20075214|86300|3138682428|35657900|273800194|409295954|591386382|3670000|1190731257|188840147|27721400|1005214338|3726317572
31-JAN-2024|ACRO|EQUITY|3469138591|91|0|250000|0|0|3307575591|0|0|0|0|3307825591|0|0|0|755400|160552500|0|5100|0|0|161313000
31-JAN-2024|ACST|EQUITY|12675160000|130|0|11196380135|30000|0|1438589614|0|1157|0|80|12635000986|0|120|0|12708644|5061935|20245000|2127295|0|16020|40159014
31-JAN-2024|ADCP|EQUITY|22222222200|50|0|444521200|6760000|0|1589727600|911000|1558700|200|170563000|2214041700|0|0|0|5170800|3009700|0|0|0|0|8180500
31-JAN-2024|ADES|EQUITY|589896800|9150|0|85200|58500|350|43442477|44400|471|0|0|43631398|0|540211613|187900|4062064|103100|111500|182000|0|384797|545242974
31-JAN-2024|ADHI|EQUITY|8407608979|282|44519139|156269673|83314570|3000000|2129674788|129706977|76226062|24136151|1655147|2648502507|0|24047985|150946413|12722070|7399346|93305538|53650409|0|8250919|350322680
31-JAN-2024|ADMF|EQUITY|1000000000|11325|4429500|710200|106600|920700000|42733400|9602200|205015|0|0|978486915|22100|625331|636039|10513818|774200|947366|4168931|103000|3622300|21413085
