Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
28-MAR-2024|AALI|EQUITY|1924688333|6900|64606727|28934924|6541012|49700|176692500|4593688|9901|3753812|4742227|289924491|1755010|6297101|20653370|8580197|1601964|29426267|23953644|190500|8407049|100865102
28-MAR-2024|ABBA|EQUITY|3935892857|34|89401600|2339871805|0|0|992149177|0|522|71|0|3421423175|0|20400|0|47815685|7063200|0|1333800|0|0|56233085
28-MAR-2024|ABDA|EQUITY|620806680|5000|0|40248|0|98|394382|0|7500|505884|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
28-MAR-2024|ABMM|EQUITY|2753165000|3810|3470000|1480307933|0|12000|350336100|1609600|4156916|0|9000|1839901549|550000|860552836|10626884|8213865|310000|17142334|1645868|2282765|11938899|913263451
28-MAR-2024|ACES|EQUITY|17150000000|880|631934915|304448300|123990111|0|1058898691|717010239|4057541|17548814|86300|2857974911|69345100|310858433|418754311|564138096|3227100|1401203389|194211547|29916600|1015370513|4007025089
28-MAR-2024|ACRO|EQUITY|3469138591|100|0|250000|0|0|3276664091|0|0|0|0|3276914091|0|0|0|5120100|186545000|0|559400|0|0|192224500
28-MAR-2024|ACST|EQUITY|12675160000|135|0|11196285035|9800|0|1440550214|0|1157|0|80|12636846286|0|120|0|10782044|5178235|20245000|1372295|0|736020|38313714
28-MAR-2024|ADCP|EQUITY|22222222200|50|0|444521200|6760000|0|1593611900|911000|1558700|200|170563000|2217926000|0|0|0|36500|3009700|0|0|0|1250000|4296200
28-MAR-2024|ADES|EQUITY|589896800|9100|0|84100|58500|350|43459277|32800|471|0|0|43635498|0|540211613|187900|4074864|103100|111500|180000|0|370397|545239374
28-MAR-2024|ADHI|EQUITY|8407608979|292|21590465|156822073|75610570|3000000|2313120896|55889470|133214022|24134651|1655147|2785037294|0|10115087|61201300|82279670|7351746|37141666|9197505|0|6500919|213787893
28-MAR-2024|ADMF|EQUITY|1000000000|13425|4429500|648000|106600|920700000|43601900|8832200|201015|0|0|978519215|22100|625331|636039|10546418|773500|954866|4166931|33300|3622300|21380785
28-MAR-2024|ADMG|EQUITY|3889179559|133|1030000|1399506693|2290400|0|504179487|83|450027|0|0|1907456690|0|1662400|0|3736547|2721800|0|4273896|0|1925414460|1937809103
28-MAR-2024|ADMR|EQUITY|40882331500|1310|1039766700|35483515311|148427600|0|1427602500|672280339|555875|22560800|200000|38794909125|91220000|1165939626|3869600|121549567|57949000|82605283|18401171|557100|545331028|2087422375
28-MAR-2024|ADRO|EQUITY|31985962000|2700|1244737421|16925234553|118349600|15000|6929776458|573999027|59861430|22537500|724327|25875235316|36418514|958115188|981675698|597817312|13577272|1765166636|218306373|70049100|1469600591|6110726684
28-MAR-2024|AEGS|EQUITY|1006002464|60|0|19000|0|0|398394064|0|0|0|0|398413064|0|0|0|53900|1535500|0|0|0|0|1589400
28-MAR-2024|AGAR|EQUITY|1000000000|88|0|798985100|0|0|200992400|0|0|0|0|999977500|0|200|0|100|22200|0|0|0|0|22500
28-MAR-2024|AGII|EQUITY|3066660000|1660|7695600|1019732529|3841000|0|133087591|32030900|311560|986500|0|1197685680|0|989689520|28485800|6933600|1377400|891150|10253850|0|200000|1037831320
