Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
29-FEB-2024|AALI|EQUITY|1924688333|6725|64616927|28510924|6604012|49700|174263201|4303199|401445|3753812|4742227|287245447|1755010|6265701|21052170|8750302|1558664|30148120|23957439|190500|9866240|103544146
29-FEB-2024|ABBA|EQUITY|3935892857|52|89401600|2339871805|0|0|993075834|0|565|71|0|3422349875|0|20400|0|46888985|7063200|0|1333800|0|0|55306385
29-FEB-2024|ABDA|EQUITY|620806680|5000|0|40248|0|98|394382|0|7500|505884|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
29-FEB-2024|ABMM|EQUITY|2753165000|3550|3443100|1480265133|0|12000|351455700|224400|5180216|0|0|1840580549|550000|853082536|10733984|5905865|330100|26532334|1282268|2282765|11884599|912584451
29-FEB-2024|ACES|EQUITY|17150000000|835|559041315|320093800|118609211|0|1174249491|832931942|5374000|21219414|91300|3031610473|69345100|302647133|397382911|612550965|3097100|1190014089|189827447|29916600|1038608182|3833389527
29-FEB-2024|ACRO|EQUITY|3469138591|102|0|250000|0|0|3292776791|0|0|0|0|3293026791|0|0|0|329800|175782000|0|0|0|0|176111800
29-FEB-2024|ACST|EQUITY|12675160000|143|0|11196285035|8900|0|1440666914|0|1157|0|80|12636962086|0|120|0|10745944|4713535|20245000|2127295|0|366020|38197914
29-FEB-2024|ADCP|EQUITY|22222222200|50|0|444521200|6760000|0|1589015700|4039800|1558700|200|170563000|2216458600|0|0|0|2753900|3009700|0|0|0|0|5763600
29-FEB-2024|ADES|EQUITY|589896800|10700|0|85600|58500|350|43423277|43200|471|0|0|43611398|0|540211613|187900|4098464|103100|111500|180000|0|370397|545262974
29-FEB-2024|ADHI|EQUITY|8407608979|296|21592565|156336373|77928570|3000000|2235865849|100942946|121442393|24134651|1655147|2742898494|0|12392785|129242013|13758570|7178246|59865051|26989109|0|6500919|255926693
29-FEB-2024|ADMF|EQUITY|1000000000|13525|4429500|648900|106600|920700000|43604200|8859500|185015|0|0|978533715|22100|625331|636039|10529418|774000|954866|4168931|33300|3622300|21366285
29-FEB-2024|ADMG|EQUITY|3889179559|136|1030000|1399506693|2290400|0|504131887|83|450027|0|0|1907409090|0|1662400|0|3784147|2721800|0|4273896|0|1925414460|1937856703
29-FEB-2024|ADMR|EQUITY|40882331500|1550|1058209500|35479459111|152497400|0|1327779700|739478488|44555904|22193600|0|38824173703|79236700|1166396905|3869600|120352615|58013600|64118578|32137371|557100|533475328|2058157797
29-FEB-2024|ADRO|EQUITY|31985962000|2420|1184347521|16938553653|119283400|27000|7027950558|598968483|84381793|23696900|723327|25977932635|37783556|960103252|998004279|512389035|15871472|1688183105|258325573|70007000|1467362093|6008029365
29-FEB-2024|AEGS|EQUITY|1006000000|88|0|19000|0|0|398444500|0|0|0|0|398463500|0|0|0|0|1536500|0|0|0|0|1536500
29-FEB-2024|AGAR|EQUITY|1000000000|90|0|798985100|0|0|200992400|0|0|0|0|999977500|0|200|0|100|22200|0|0|0|0|22500
29-FEB-2024|AGII|EQUITY|3066660000|1515|6628300|1019734529|3927800|0|133943791|33098200|4860|986500|0|1198323980|0|989689520|26810600|6675300|1379900|891150|10253850|0|1492700|1037193020
29-FEB-2024|AGRO|EQUITY|24740494294|266|15475586|69352007|721884741|21240142086|2175158387|77592791|2812|1594654|1780871|24302983935|0|17501625|31863069|8395952|3000962|58203238|60948231|0|580381|180493458
29-FEB-2024|AGRS|EQUITY|37783204065|76|0|411788072|0|20158930|1651510529|0|248|0|1709600|2085167379|0|0|0|4807714|27706344|11000000|8533242|0|6137753341|6189800641
29-FEB-2024|AHAP|EQUITY|4900000000|145|3066343009|132874081|0|0|1455891564|0|284319|66|0|4655393039|64086000|0|0|3160741|173019307|0|0|0|55|240266103
29-FEB-2024|AIMS|EQUITY|220000000|840|0|172160390|0|0|47458010|0|18000|0|0|219636400|0|0|0|154800|14400|0|44400|0|0|213600
29-FEB-2024|AISA|EQUITY|9311800000|133|169620483|7024322658|4470400|0|1599558339|7088900|5367025|100|8794665|8819222570|0|320928008|1927300|149979112|9178100|296100|9093816|0|547494|491949930
29-FEB-2024|AKKU|EQUITY|6449463636|50|0|5519566100|0|0|623523136|0|11487800|6900|0|6154583936|0|196189000|0|100|1050200|0|2105400|0|95535000|294879700
29-FEB-2024|AKPI|EQUITY|612248000|740|4000|145575073|0|2|70227518|17500|2122|0|0|215826215|0|13500|34|501|20603|0|94400|0|10300|139338
29-FEB-2024|AKRA|EQUITY|20073474600|1700|967818900|2878567977|176493300|5000000|749609283|846289037|4336297|22191500|20000|5650326294|48525000|272459755|693456594|400002852|27164800|1774197740|321174083|15541200|1158997182|4711519206
29-FEB-2024|AKSI|EQUITY|720000000|142|0|16066244|0|0|41470256|0|0|0|0|57536500|0|0|0|100|1600|0|300|0|0|2000
29-FEB-2024|ALDO|EQUITY|1350356872|730|0|988934066|0|0|360885023|440000|61|0|0|1350259150|0|0|0|69666|28000|0|0|0|56|97722
