Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-NOV-2023|AALI|EQUITY|1924688333|7600|65435427|28166724|7295244|49700|167024301|4335997|425905|3801737|4783127|281318162|1755010|6122301|21956470|9870615|1546264|28175017|28226361|149000|11670393|109471431
30-NOV-2023|ABBA|EQUITY|3935892857|68|120416800|2340556805|0|0|965814161|0|538|71|0|3426788375|0|20400|0|42482485|7063100|0|1301900|0|0|50867885
30-NOV-2023|ABDA|EQUITY|620806680|5900|0|40248|0|98|394282|0|7500|505984|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
30-NOV-2023|ABMM|EQUITY|2753165000|3380|5798500|1480571933|0|12000|345902900|759900|4486616|59500|120000|1837711349|550000|832772236|10975584|5704665|326500|24574034|3232568|5181965|32136099|915453651
30-NOV-2023|ACES|EQUITY|17150000000|755|498098515|325859500|115356211|0|1480522791|692415960|4590827|17121400|38800|3134004004|21190700|254483728|458109728|549437371|7559200|1171300182|249588025|23887300|995439762|3730995996
30-NOV-2023|ACST|EQUITY|12675160000|153|0|11196330135|18000|0|1443044014|0|1157|0|80|12639393386|0|120|0|9248544|3236135|20245000|3020795|0|16020|35766614
30-NOV-2023|ADCP|EQUITY|22222222200|53|0|444521200|6760000|0|1592337500|911000|1558700|200|170563000|2216651600|0|0|0|2581400|2989200|0|0|0|0|5570600
30-NOV-2023|ADES|EQUITY|589896800|9875|0|85200|58500|350|43236377|33900|411|0|0|43414738|0|540212713|187900|4322924|97000|111500|182000|0|345597|545459634
30-NOV-2023|ADHI|EQUITY|8407608979|392|48182739|156955573|96025694|3000000|2040796643|254172623|45903437|27384651|2383847|2674805207|0|27633685|111127913|24283558|5822746|77467871|69433288|0|8250919|324019980
30-NOV-2023|ADMF|EQUITY|1000000000|10700|4429500|908700|108600|920700000|42059100|9872700|175015|0|0|978253615|22100|914331|636039|10514418|753600|929866|4150731|103000|3622300|21646385
30-NOV-2023|ADMG|EQUITY|3889179559|144|1030000|994150200|2290400|0|504073287|83|450027|0|0|1501993997|0|1662400|0|3771647|2742800|0|4323896|0|43|12500786
30-NOV-2023|ADMR|EQUITY|40882331500|1325|1034351700|35487722011|166199800|0|1472655100|728895900|47337669|18384300|0|38955546480|53384100|1165235563|5848836|116703061|58580100|35846057|2205271|436700|488545332|1926785020
30-NOV-2023|ADRO|EQUITY|31985962000|2620|1467324921|16918418953|150116500|7000|6695279758|701854279|124362556|21218700|731427|26079314094|45657003|948687979|1004123155|542489491|13583472|1504550042|338655736|69864600|1439036428|5906647906
30-NOV-2023|AEGS|EQUITY|1006000000|58|0|19000|0|0|396848000|0|0|0|0|396867000|0|0|0|0|3133000|0|0|0|0|3133000
30-NOV-2023|AGAR|EQUITY|1000000000|117|0|798985100|0|0|200992400|0|0|0|0|999977500|0|200|0|100|22200|0|0|0|0|22500
30-NOV-2023|AGII|EQUITY|3066660000|1480|6628300|1019744529|5129300|0|132121691|33087900|4860|986500|0|1197703080|0|989754520|26810600|6697200|1244800|1342900|10392500|0|1571400|1037813920
30-NOV-2023|AGRO|EQUITY|24740494294|294|3383986|66373807|723894795|21240242086|2187384072|78259719|173731|976620|1070871|24301759687|0|17509694|28948769|11064839|2957162|58993799|61663131|0|580312|181717706
30-NOV-2023|AGRS|EQUITY|37783204065|86|0|405598872|0|20158930|1665662062|0|215|0|1709600|2093129679|0|0|0|6230614|23859344|6200000|9095042|0|6136453341|6181838341
30-NOV-2023|AHAP|EQUITY|4900000000|93|3066343009|182114581|0|0|1392620372|0|504311|66|0|4641582339|64086000|0|0|6961341|181959407|0|1070000|0|55|254076803
30-NOV-2023|AIMS|EQUITY|220000000|424|0|180451890|0|0|39357510|0|18000|0|0|219827400|0|0|0|200|2000|0|20400|0|0|22600
30-NOV-2023|AISA|EQUITY|9311800000|155|169620483|7015049758|4470400|0|1587397339|7088900|5533025|100|8794665|8797954670|0|320938108|1927300|150967212|10421200|296100|28120416|0|547494|513217830
30-NOV-2023|AKKU|EQUITY|6449463636|50|0|5519566100|0|0|623527136|0|11483800|6900|0|6154583936|0|196189000|0|100|1050200|0|2105400|0|95535000|294879700
30-NOV-2023|AKPI|EQUITY|612248000|715|4000|145575073|0|2|28486871|17500|2122|0|0|174085568|0|16200|34|5801|20603|0|94400|0|10300|147338
30-NOV-2023|AKRA|EQUITY|20073474600|1435|876277700|2764511077|125384500|5000000|781714983|873623856|30024474|13530100|15000|5470081690|33667400|280461955|868627676|449784792|31865700|1688033452|396694284|15541200|1127087351|4891763810
30-NOV-2023|AKSI|EQUITY|720000000|159|0|16066244|0|0|41421756|0|0|0|0|57488000|0|0|0|100|50100|0|300|0|0|50500
30-NOV-2023|ALDO|EQUITY|1350356472|820|0|984285166|0|0|365569323|463400|61|0|0|1350317950|0|0|0|10566|27900|0|0|0|56|38522
30-NOV-2023|ALKA|EQUITY|507665055|530|0|11021250|0|77500|24359805|0|21200|0|0|35479755|0|0|0|276200|2624023|0|100|0|0|2900323
30-NOV-2023|ALMI|EQUITY|3816000000|228|0|96651440|0|0|49016300|0|303000|0|0|145970740|0|0|0|32822300|515500|0|195200|0|0|33533000
30-NOV-2023|ALTO|EQUITY|2191870558|50|0|1372034116|0|0|578993824|5900|230211018|0|0|2181244858|0|50000|0|7560100|36000|0|2728100|0|0|10374200
30-NOV-2023|AMAG|EQUITY|5001552516|304|40130200|3357700|210019533|388000000|42116896|0|23887500|0|0|707511829|0|5783100|0|4990600|7769700|3352200|68879000|0|13723000|104497600
30-NOV-2023|AMAN|EQUITY|3873500000|125|0|100100|0|0|579686200|0|0|0|0|579786300|0|0|0|1326100|0|0|200|3887400|0|5213700
30-NOV-2023|AMAR|EQUITY|18381094760|310|0|51843472|0|195439500|489738281|342100|200411|0|0|737563764|0|15444789601|0|1668906799|1662703|7522688|336016930|0|821275|17459719996
30-NOV-2023|AMFG|EQUITY|434000000|5875|23500|13714282|0|0|34537700|32000|35076|0|0|48342558|114800|21807700|191300|1133500|37300|1467500|11435759|76900|222183|36486942
30-NOV-2023|AMIN|EQUITY|1080000000|171|0|0|0|0|69267600|0|0|0|0|69267600|0|17438300|0|4241200|247915200|0|192800|0|10144900|279932400
30-NOV-2023|AMMN|EQUITY|72518217656|7200|67481600|50423383404|4135600|0|1202585400|30601000|17818|74900|28600|51728308322|14410029|505395579|18772300|1055883777|226998400|465193128|9388780|1260600|3325096189|5622398782
30-NOV-2023|AMMS|EQUITY|1200047536|44|0|28913900|0|0|209495857|0|79|0|0|238409836|0|0|0|100|1150800|0|486800|0|0|1637700
30-NOV-2023|AMOR|EQUITY|2222222400|980|35603300|351702400|0|0|424830800|0|8675700|0|0|820812200|10730454|149400|0|49287200|1004000|3659600|1600400|0|859146|67290200
30-NOV-2023|AMRT|EQUITY|41524501700|2870|520574300|15195425434|47963800|0|2382368139|487298417|322437|3843400|740600|18638536527|235203562|4341486454|1332549287|1983869145|569900|3748544497|972774786|27762700|2063204842|14705965173
30-NOV-2023|ANDI|EQUITY|9350000000|50|25543605|797718480|1438400|0|1537919757|1499227361|266823708|2702640|567409200|4698783151|0|0|0|5100|1159949|0|21800|0|0|1186849
30-NOV-2023|ANJT|EQUITY|3354175000|715|0|53943380|0|45000|289966983|300100|749400|0|47400|345052263|0|481400|545200|1499900|764637|1235200|4081700|0|514700|9122737
30-NOV-2023|ANTM|EQUITY|24030764725|1740|1011587499|85906674|103366478|3500012|3208321785|456943251|80459132|18604750|1431761|4970121342|88009245|176215240|803973594|331992373|11817149|1057594060|192925694|7673600|730918820|3401119775
30-NOV-2023|APEX|EQUITY|2830004997|208|0|2027796979|0|0|258746401|0|4534|0|0|2286547914|0|307752577|0|157193247|150000|0|647587|0|0|465743411
30-NOV-2023|APIC|EQUITY|11766313488|1145|553794300|9398481512|600000|0|185097168|348810075|618894179|21370000|0|11127047234|6068800|26387335|28398200|415446327|450|61557200|14905800|0|86502142|639266254
30-NOV-2023|APII|EQUITY|1075760000|196|0|1308600|0|0|54467600|0|0|0|0|55776200|0|295400|0|830000|36757300|0|36164700|0|144788400|218835800
30-NOV-2023|APLI|EQUITY|1362671400|560|0|201399300|0|0|560356900|0|165000|0|0|761921200|0|0|0|100|170100|0|479000|0|0|649200
30-NOV-2023|APLN|EQUITY|22699326779|127|5283600|9320156198|2000000|0|3000668316|30797000|108033607|700000|390000|12468028721|672861|16503882|55547950|297627620|3646900|21099100|4581761|21185408|116652576|537518058
30-NOV-2023|APOL|EQUITY|16452282461|0|0|649059480|1400000|0|775953251|0|90689820|14086735|575800|1531765086|0|2653784186|0|1180647657|8159700|13668011|1410334020|0|71420000|5338013574
30-NOV-2023|ARCI|EQUITY|24835000000|378|56320800|23761062317|308200|0|649753783|0|7094758|0|0|24474539858|0|1925000|0|206070550|7326900|648510|415342|0|144073840|360460142
30-NOV-2023|ARGO|EQUITY|3174339029|840|45000|461988014|0|0|640550|0|83000|0|0|462756564|0|280|0|5382100|11250|0|1100|0|5720|5400450
30-NOV-2023|ARII|EQUITY|3431000000|242|117981800|1527676500|62900|0|537976000|151617600|0|0|0|2335314800|0|312864100|0|217195900|2105800|0|23500|0|76134900|608324200
30-NOV-2023|ARKA|EQUITY|2000000000|50|0|1093942500|0|0|895472600|0|100|0|0|1989415200|0|250100|0|100|4109800|0|4974800|0|0|9334800
30-NOV-2023|ARKO|EQUITY|2928495000|715|0|2315153993|0|0|314652000|0|0|0|0|2629805993|0|295038107|0|3310300|340600|0|0|0|0|298689007
30-NOV-2023|ARMY|EQUITY|9006250000|50|1054253569|2879287175|5275132|0|1551252636|1962229899|279963587|2541349|526952595|8261755942|0|488927400|0|32396000|1064158|1687200|4800|0|0|524079558
30-NOV-2023|ARNA|EQUITY|7341430976|670|152198697|1174716976|27446100|0|3446532161|74762100|656857|0|0|4876312891|0|300598650|635200|551742928|33128828|1115187276|26998392|42868300|393958511|2465118085
30-NOV-2023|ARTA|EQUITY|446674175|2500|0|42052500|0|0|377760625|0|0|0|0|419813125|0|0|0|1750|499500|0|26359800|0|0|26861050
30-NOV-2023|ARTI|EQUITY|7840000000|28|74373974|2633606286|739500000|0|3812825650|505451300|686590|0|28930000|7795373800|0|0|0|100|14241400|0|8340700|0|20669000|43251200
30-NOV-2023|ARTO|EQUITY|13856250000|3200|101719548|7056386192|22280198|791500|1242862988|163722769|42905097|1705500|15|8632373807|93903|1354266506|61115596|2137060557|2789000|60970040|34323463|0|1334694628|4985313693
30-NOV-2023|ASBI|EQUITY|348386472|665|10123992|309537614|22|1106|14491244|0|27360|0|0|334181338|0|0|0|575840|530170|0|1092388|0|0|2198398
30-NOV-2023|ASDM|EQUITY|192000000|1000|0|31552100|0|13200|16816460|2000000|0|0|0|50381760|0|0|0|56300|481800|102900|2219000|0|0|2860000
30-NOV-2023|ASGR|EQUITY|1348780500|915|1552500|1813860|0|178000|231852628|12887900|128426|500|0|248413814|0|344000|5251100|21214454|586800|5736700|4669485|3453500|7924707|49180746
