Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-OCT-2023|AALI|EQUITY|1924688333|7050|65013727|27880124|7443655|49700|166677001|4573981|429610|3778637|4783127|280629562|1761225|6157791|21891970|9336315|1535064|29263017|28298556|149000|11767093|110160031
31-OCT-2023|ABBA|EQUITY|3935892857|73|107406600|2341806805|0|0|975074161|0|538|71|0|3424288175|0|20400|0|45182685|6863100|0|1301900|0|0|53368085
31-OCT-2023|ABDA|EQUITY|620806680|6000|0|40248|0|98|394282|0|7500|505984|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
31-OCT-2023|ABMM|EQUITY|2753165000|3820|6546200|1480486133|0|12000|338410500|849500|4473037|59500|409000|1831245870|550000|705405636|11814484|10220544|331800|24683234|3921568|5181965|159809899|921919130
31-OCT-2023|ACES|EQUITY|17150000000|800|478969415|323529000|110960311|0|1449039191|642270087|5155646|17321400|38800|3027283850|7590300|242459730|450147564|604291227|8007400|1210968736|270071086|23887300|1020292807|3837716150
31-OCT-2023|ACST|EQUITY|12675160000|175|0|11195630135|10000|0|1441838314|0|1657|0|80|12637480186|0|120|0|10367744|2780135|20245000|4270795|0|16020|37679814
31-OCT-2023|ADCP|EQUITY|22222222200|56|1390000|444521200|6760000|0|1591894400|911000|1558700|200|170563000|2217598500|0|0|0|1582300|3041400|0|0|0|0|4623700
31-OCT-2023|ADES|EQUITY|589896800|10800|0|82100|58500|350|40929477|19500|411|0|0|41090338|0|540211613|219900|6616724|96700|111500|182000|0|345597|547784034
31-OCT-2023|ADHI|EQUITY|8407608979|402|66476239|154036073|105739194|3000000|1992558676|277965623|45813441|27384619|2583847|2675557712|0|27633485|111127913|23971858|5348841|77766871|69167588|0|8250919|323267475
31-OCT-2023|ADMF|EQUITY|1000000000|10425|4429500|877000|108600|920700000|41968300|9986700|182509|0|0|978252609|22100|835331|640139|10639124|727700|919866|4054731|103000|3705400|21647391
31-OCT-2023|ADMG|EQUITY|3889179559|147|1030000|994150200|2290400|0|503886787|83|450027|0|0|1501807497|0|1662400|0|3963247|2737700|0|4323896|0|43|12687286
31-OCT-2023|ADMR|EQUITY|40882331500|1100|1046853900|35486128711|166249200|0|1599537200|688087200|2452145|18466400|23500|39007798256|28525900|1171047188|9844187|111412372|58750700|18772857|2912271|436700|472831069|1874533244
31-OCT-2023|ADRO|EQUITY|31985962000|2560|1533750221|16919055453|152918900|7000|6688415958|743559865|69205567|20304800|731427|26127949191|48322903|925837206|1015573355|507880200|13459472|1520603172|330448892|68005300|1427882309|5858012809
31-OCT-2023|AEGS|EQUITY|1006000000|53|0|10031500|0|0|386770500|0|0|0|0|396802000|0|0|0|0|3198000|0|0|0|0|3198000
31-OCT-2023|AGAR|EQUITY|1000000000|135|0|798985100|0|0|200988900|0|0|0|0|999974000|0|200|0|3600|22200|0|0|0|0|26000
31-OCT-2023|AGII|EQUITY|3066660000|1575|7377600|1019734529|5129300|0|131136591|33087900|4860|986500|0|1197457280|0|989755620|26810600|6170400|1244800|1795000|10529600|0|1753700|1038059720
31-OCT-2023|AGRO|EQUITY|24740494294|224|23031986|66415407|726142795|21240242086|2164746603|80054394|172625|976620|1070871|24302853387|0|17977394|28948769|9559139|3101462|58993799|61463131|0|580312|180624006
31-OCT-2023|AGRS|EQUITY|37783204065|81|0|405553572|0|20158930|1670384762|0|215|0|1709600|2097807079|0|0|0|7517014|22116244|1982600|9091742|0|6136453341|6177160941
31-OCT-2023|AHAP|EQUITY|4900000000|104|3066343009|189444481|0|0|1372355305|0|504311|33|0|4628647139|64086000|425900|0|19470641|181959407|0|1070000|0|55|267012003
31-OCT-2023|AIMS|EQUITY|220000000|328|0|180449890|0|0|39359510|0|18000|0|0|219827400|0|0|0|200|2000|0|20400|0|0|22600
